"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"HMDB0000925","Trimethylamine N-oxide","HMDB0000925","1145","C01104","C[N+](C)(C)[O-]","1"
"HMDB0142449","NA","NA","NA","NA","NA","0"
"HMDB0140038","NA","NA","NA","NA","NA","0"
"HMDB0012136","1-Amino-propan-2-ol","HMDB0012136","4","C05771","CC(CN)O","1"
"HMDB0062143","NA","NA","NA","NA","NA","0"
"HMDB0031558","Methyloxirane","HMDB0031558","6378","C15508","CC1CO1","1"
"HMDB0031652","Allyl alcohol","HMDB0031652","7858","C02001","C=CCO","1"
"HMDB0003366","Propanal","HMDB0003366","527","C00479","CCC=O","1"
"HMDB0001659","Acetone","HMDB0001659","180","C00207","CC(=O)C","1"
"HMDB0060253","1-Methylpyrrolinium","HMDB0060253","440932","C06178","C[N+]1=CCCC1","1"
"HMDB0172632","NA","NA","NA","NA","NA","0"
"HMDB0062600","NA","NA","NA","NA","NA","0"
"HMDB0012815","5-Aminopentanal","HMDB0012815","443849","C12455","C(CCN)CC=O","1"
"HMDB0033529","(+)-2,3-Dihydro-3-methyl-1H-pyrrole","HMDB0033529","22419314",NA,"CC1CNC=C1","1"
"HMDB0040173","NA","NA","NA","NA","NA","0"
"HMDB0061878","NA","NA","NA","NA","NA","0"
"HMDB0001252","Betaine aldehyde","HMDB0001252","249","C00576","C[N+](C)(C)CC=O","1"
"HMDB0031404","Cyclohexylamine","HMDB0031404","7965","C00571","C1CCC(CC1)N","1"
"HMDB0032416","2-Methylpiperidine","HMDB0032416","7974",NA,"CC1CCCCN1","1"
"HMDB0031544","3-Methylcyclopentene","HMDB0031544","14263",NA,"CC1CCC=C1","1"
"HMDB0062716","NA","NA","NA","NA","NA","0"
"HMDB0033971","2-Diethylaminoethanol","HMDB0033971","7497",NA,"CCN(CC)CCO","1"
"HMDB0059844","NA","NA","NA","NA","NA","0"
"HMDB0000642","Erythronilic acid","HMDB0000642","12313370",NA,"C[C@H]([C@H](C)O)C(=O)O","1"
"HMDB0041603","NA","NA","NA","NA","NA","0"
"HMDB0040735","NA","NA","NA","NA","NA","0"
"HMDB0002011","4-Hydroxyisovaleric acid","HMDB0002011","131760",NA,"CC(CC(=O)O)CO","1"
"HMDB0001863","2-Hydroxyvaleric acid","HMDB0001863","98009",NA,"CCCC(C(=O)O)O","1"
"HMDB0000754","3-Hydroxyisovaleric acid","HMDB0000754","69362","C20827","CC(C)(CC(=O)O)O","1"
"HMDB0000531","3-Hydroxyvaleric acid","HMDB0000531","107802",NA,"CCC(CC(=O)O)O","1"
"HMDB0000410","3-Hydroxy-2-methyl-[S-(R,R)]-butanoic acid","HMDB0000410","12313369",NA,"C[C@H]([C@@H](C)O)C(=O)O","1"
"HMDB0000407","2-Hydroxy-3-methylbutyric acid","HMDB0000407","99823",NA,"CC(C)C(C(=O)O)O","1"
"HMDB0000396","2-Ethylhydracrylic acid","HMDB0000396","188979",NA,"CCC(CO)C(=O)O","1"
